날짜,키워드,언론사,제목,요약,네이버뉴스링크,셀렉
2025.08.04,삼성,한겨레,삼성물산의 어용노조 10년…대법 ”금속노조와 10년 단체교섭 다시하라...,대법원이 삼성물산에 과거 10년간 거부했던 금속노조 소속 노조와 단체교섭을 다시 하라고 판결했다. 회사가 설립한 어용노조와의 단체협약은 모두 무효라는 점을 법원이 확인한 것이다. 대법원 1부(주심 서경환 대법관)는 금속노조가 물산을 상대로 제기한 단체교섭 이행 청구 소송에서 원고 승소 판결한...,https://n.news.naver.com/mnews/article/028/0002759568?sid=102,f
2025.08.04,삼성,국민일보,[부고] 김송자씨 별세 外,"▲김송자씨 별세, 박성인 박성일 박성호(수서경찰서 형사과 강력6팀 경위) 박애경씨 모친상, 박종석씨 빙모상, 최정옥 임희선 이승희(삼성전자 과장)씨 시모상=4일 충남 Sh수협장례식장, 발인 6일 오전 8시(041-932-4004) ▲박재순씨 별세, 정창운(전 ㈜지성 대표) 정창두(맨인씨앤에스 대표) 정창우...",https://n.news.naver.com/mnews/article/005/0001793863?sid=102,f
2025.08.04,삼성,세계일보,‘코리아 밸류업 지수’ 2025년 36% 상승,"특히 지난달 상장기업의 자기주식 매입금액은 6조5000억원으로 삼성전자(3조9100억원), 신한지주(8000억원) 등이 적극적인 주주환원 노력을 보이고 있다. 지난달 말까지 현금배당 결정 금액은 43조9000억원으로, 전년 동기(39조4000억원) 대비 11.3% 증가했다. 전자(2조4500억원)와 현대차(6507억원)...",https://n.news.naver.com/mnews/article/022/0004057243?sid=101,f
2025.08.04,삼성,한겨레,"‘노란봉투법 반대’ 기업들, 지속가능보고서엔 “국제노동기준 준수”","삼성전자·현대차·에스케이·엘지 등 국내 주요 대기업 상당수가 ‘지속가능경영(ESG) 보고서’(지속가능보고서)에 노란봉투법에 부합하는... 4일 금융감독원 전자공시시스템을 보면, 삼성전자는 ‘2025 지속가능보고서’ 중 인권 기본원칙에 ‘결사의 자유 및 단체교섭을 보장한다’고 적으며 국제노동기구(ILO)...",https://n.news.naver.com/mnews/article/028/0002759563?sid=102,f
2025.08.04,삼성,세계일보,[부고] 안효덕씨 별세 외,"▲안효덕씨 별세, 김호영(삼성전자 파운드리 공정개발팀 마스터)·건영씨(한국무역보험공사 충북지사장) 모친상=4일 서울성모병원 발인 6일 오전... 장인상=4일 삼성서울병원 발인 6일 오전 7시45분 (02)3410-3151 ▲조한승씨 별세, 조원선(여의도 맥통증의원 원장)·영훈·은호씨 부친상, 김춘씨...",https://n.news.naver.com/mnews/article/022/0004057229?sid=102,f
2025.08.04,삼성,한겨레,강남 ‘마지막 노른자’ 재건축 격돌…삼성 “이주비” vs 대우 “고수익...,"“저희 삼성물산, 정말 절치부심하고 입찰에 참여했습니다. 삼성만 가능한 혜택으로 조합원님들 세대당 9.6억원씩 반드시 살펴드리겠습니다.” “대우건설은 일반분양 수입을 극대화하고 사업비를 최소화함으로써 조합원님들 이익을 최대로 맞추겠습니다. 저희의 진심이 보이십니까?” 서울 강남구...",https://n.news.naver.com/mnews/article/028/0002759549?sid=101,f
2025.08.04,삼성,한겨레,"신형보다 비싸진 ‘구형 메모리 D램’, 왜?",한국 삼성전자·에스케이(SK)하이닉스와 미국 마이크론 등이 주로 생산한다. 메모리 반도체 제조사와 컴퓨터 제조사 간에 정한 구형 디램 가격이 폭등한... 예컨대 삼성전자는 올해 전체 메모리 반도체 사업부 매출에서 DDR4 등 구형 디램 매출 비중을 한 자릿수 수준으로 잡아둔 상태다.,https://n.news.naver.com/mnews/article/028/0002759537?sid=101,t
2025.08.04,삼성,한국일보,[부고] 정창우(서울대 윤리교육과 교수)씨 모친상 외,이승희(삼성전자 과장)씨 시모상·박종석씨 장모상=4일 오전4시30분 Sh수협장례식장 발인 6일 오전8시 (041)932-4004 ▲조계기(전 쌍용양회 이사)씨... 오전9시20분 삼성서울병원 발인 6일 오전7시 45분 (02)3410-6919 ▲안효덕씨 별세·김호영(삼성전자 파운드리 공정개발팀 마스터) 건영(한국무역보험공사...,https://n.news.naver.com/mnews/article/469/0000879773?sid=102,f
2025.08.04,삼성,조선일보,글로컬 대학 중 1위… ‘해양 특성화대 글로벌 톱3’ 목표로 성장,"HD현대중공업, 삼성중공업, 한화오션 등 국내 ‘조선 빅3’를 포함해 미국 ABS, 노르웨이 DNV, 프랑스 BV 등 글로벌 인증기관, 국내외 100여 대학이 협력하고 있다. 송하철 총장은 “GSP는 앞으로 글로벌 스타트업 랩과 프로젝트 랩이 기술 상용화와 창업, 기술 이전을 추진할 수 있는 ‘미래 혁신 인큐베이터’로...",https://n.news.naver.com/mnews/article/023/0003921080?sid=101,f
2025.08.04,삼성,문화일보,"삼성전자, AI 전담 조직 ‘이노X 랩’ 신설","삼성전자가 인공지능(AI) 분야 신사업을 과제별로 추진하는 전담 조직을 신설했다. 휴머노이드(인간형) 로봇과 제조업 혁신을 위한 ‘디지털 트윈’ 솔루션, 피지컬(물리) AI 등 신성장동력 사업 경쟁력을 가속하기 위한 전략으로 풀이된다. 4일 업계에 따르면 삼성전자 디바이스경험(DX) 부문은 이날 사업...",https://n.news.naver.com/mnews/article/021/0002727187?sid=101,t
2025.08.04,삼성,문화일보,“노조 단체교섭권 인정 전 근로조건도 재교섭 가능”,"전국금속노동조합(금속노조)과 삼성물산이 2020년부터 이어온 법정 공방에서 대법원이 금속노조 측 손을 들어줬다. 4일 법조계에 따르면, 대법원 1부(주심 서경환 대법관)는 금속노조가 삼성물산을 상대로 제기한 단체교섭 이행청구 소송에서 원고 승소로 판결한 원심을 확정했다. 앞서 금속노조는...",https://n.news.naver.com/mnews/article/021/0002727183?sid=102,f
2025.08.04,삼성,문화일보,"자동차·철강, 일본보다 불리… 배터리는 경쟁력 유지","일본은 파나소닉 외에 배터리 시장에서의 존재감이 크지 않은 반면 우리나라는 배터리 3사(LG에너지솔루션, 삼성SDI, SK온)가 이미 미국 현지 생산을 위한 준비에 나서고 있다. 특히 미국이 ‘하나의 크고 아름다운 법률(OBBBA)’로 세계 배터리 시장 점유율 1위인 중국 견제에 박차를 가하면서 향후 배터리...",https://n.news.naver.com/mnews/article/021/0002727172?sid=101,t
2025.08.04,삼성,문화일보,“대기업 투자 + 輸銀·貿保보증 등,"대미투자펀드의 경우, 삼성전자 등 대기업 미국 투자, 수출입은행·무역보증공사의 대출 및 보증 등으로 전체 3500억 달러 한도가 채워질 것이란 관측이다. 직전 협상이 ‘프레임워크’ 마련 성격이 강했던 만큼 조만간 진행될 한·미 정상회담까지 협정문의 디테일을 정하는 치열한 물밑 전투가 펼쳐질...",https://n.news.naver.com/mnews/article/021/0002727167?sid=101,f
2025.08.04,삼성,문화일보,“기존투자·조선사RG 다합친 ‘트럼프式 거래’ 될것”,특정 펀드가 신설될 수 있지만 그보다 10년간 △삼성전자·현대차 등의 대미투자 계획 △수출입은행·무역보험공사의 대미투자 대출 및 보증 △조선사 등 미국 자회사를 위한 선수금환급보증(RG) 등을 모두 합한 수치가 미국에 제시됐을 것이라는 전망이다. RG란 조선사가 선박을 정해진 기한에 건조하지...,https://n.news.naver.com/mnews/article/021/0002727171?sid=101,f
2025.08.04,삼성,세계일보,"삼성, 라이온즈파크서 ‘2025 모니모 데이’ 개최",3일 대구 삼성라이온즈파크에서 열린 ‘2025 모니모 데이’에서 관람객들이 모니모 캐릭터와 함께 기념 촬영을 하고 있다. 삼성카드 제공 삼성금융네트웍스는 3일 대구 삼성라이온즈파크에서 ‘2025 모니모 데이’를 개최했다고 밝혔다. 모니모는 생명·화재·카드·증권 등 금융의 서비스를 한데 모은...,https://n.news.naver.com/mnews/article/022/0004057000?sid=101,f
2025.08.04,삼성,세계일보,"워터파크·놀이공원·해외 여행… 얘들아, 아빠 카드로 쏜다! [마이머니...",여름 휴가철 카드 혜택·이벤트 풍성 신한카드 전국 워터파크 65% 현장할인 용평선 4인 입장시 ‘아빠는 무료’ 혜택 삼성카드 에버랜드 ‘iD SPLASH’ 운영... 삼성카드는 에버랜드 내 워터파크 캐리비안 베이에 체험형 브랜드 팝업 부스 ‘iD SPLASH’를 10일까지 운영한다. ‘iD SPLASH’는 카드의 대표 상품인...,https://n.news.naver.com/mnews/article/022/0004056997?sid=101,f
2025.08.04,삼성,세계일보,"김만기 서울AI재단 이사장 “AI 산업, 실생활서 활용해야 성장”","올 하반기에는 가장 큰 ‘AI 시민축제’인 ‘스마트라이프위크(SLW)’가 9월30일부터 10월2일까지 강남구 삼성동 코엑스에서 개최된다. 이번이 2회째를 맞는 SLW는 서울시에서 열리는 AI 관련 최대 행사로 지난해와 비교해 행사 규모를 크게 늘려 200곳 도시, 300개 기업, 6만명 시민이 참여할 예정이다. 김...",https://n.news.naver.com/mnews/article/022/0004056989?sid=102,f
